coordinate,jdk8_version,jdk8_status,jdk17_version,jdk17_status,jdk21_version,jdk21_status,notes
cglib:cglib,3.3.0,bytecode-pass,3.3.0,bytecode-pass,3.3.0,bytecode-pass,
cglib:cglib-nodep,3.3.0,bytecode-pass,3.3.0,bytecode-pass,3.3.0,bytecode-pass,
ch.qos.logback:logback-classic,1.3.14,bytecode-pass,1.5.36,bytecode-pass,1.5.36,bytecode-pass,
ch.qos.logback:logback-core,1.3.14,bytecode-pass,1.5.36,bytecode-pass,1.5.36,bytecode-pass,
cn.afterturn:easypoi-annotation,4.5.0,bytecode-pass,4.5.0,bytecode-pass,4.5.0,bytecode-pass,
cn.afterturn:easypoi-base,4.5.0,bytecode-pass,4.5.0,bytecode-pass,4.5.0,bytecode-pass,
cn.afterturn:easypoi-web,4.5.0,bytecode-pass,4.5.0,bytecode-pass,4.5.0,bytecode-pass,
cn.edu.hfut.dmic.webcollector:WebCollector,2.74-alpha,bytecode-pass,2.74-alpha,bytecode-pass,2.74-alpha,bytecode-pass,
cn.hutool:hutool-all,5.8.47,bytecode-pass,5.8.47,bytecode-pass,5.8.47,bytecode-pass,
cn.hutool:hutool-aop,5.8.47,bytecode-pass,5.8.47,bytecode-pass,5.8.47,bytecode-pass,
cn.hutool:hutool-bloomFilter,5.8.47,bytecode-pass,5.8.47,bytecode-pass,5.8.47,bytecode-pass,
cn.hutool:hutool-cache,5.8.47,bytecode-pass,5.8.47,bytecode-pass,5.8.47,bytecode-pass,
cn.hutool:hutool-core,5.8.47,bytecode-pass,5.8.47,bytecode-pass,5.8.47,bytecode-pass,
cn.hutool:hutool-cron,5.8.47,bytecode-pass,5.8.47,bytecode-pass,5.8.47,bytecode-pass,
cn.hutool:hutool-crypto,5.8.47,bytecode-pass,5.8.47,bytecode-pass,5.8.47,bytecode-pass,
cn.hutool:hutool-db,5.8.47,bytecode-pass,5.8.47,bytecode-pass,5.8.47,bytecode-pass,
cn.hutool:hutool-dfa,5.8.47,bytecode-pass,5.8.47,bytecode-pass,5.8.47,bytecode-pass,
cn.hutool:hutool-http,5.8.25,bytecode-pass,5.8.47,bytecode-pass,5.8.47,bytecode-pass,
cn.hutool:hutool-json,5.8.47,bytecode-pass,5.8.47,bytecode-pass,5.8.47,bytecode-pass,
cn.hutool:hutool-system,5.8.47,bytecode-pass,5.8.47,bytecode-pass,5.8.47,bytecode-pass,
cn.jpush.api:jiguang-common,1.2.7,bytecode-pass,1.2.7,bytecode-pass,1.2.7,bytecode-pass,
cn.jpush.api:jpush-client,3.7.7,bytecode-pass,3.7.7,bytecode-pass,3.7.7,bytecode-pass,
cn.wensiqun:asmsupport-client,0.4.3,bytecode-pass,0.4.3,bytecode-pass,0.4.3,bytecode-pass,
co.elastic.clients:elasticsearch-java,,absent,9.2.1,bytecode-pass,9.2.1,bytecode-pass,
com.101tec:zkclient,0.11,bytecode-pass,0.11,bytecode-pass,0.11,bytecode-pass,
com.alibaba.csp:sentinel-core,1.8.10,bytecode-pass,1.8.10,bytecode-pass,1.8.10,bytecode-pass,
com.alibaba.fastjson2:fastjson2,2.0.62,bytecode-pass,2.0.62,bytecode-pass,2.0.62,bytecode-pass,
com.alibaba.fastjson2:fastjson2-extension,2.0.62,bytecode-pass,2.0.62,bytecode-pass,2.0.62,bytecode-pass,
com.alibaba.fastjson2:fastjson2-extension-spring5,2.0.62,bytecode-pass,2.0.62,bytecode-pass,2.0.62,bytecode-pass,
com.alibaba.fastjson2:fastjson2-extension-spring6,2.0.62,unverified-artifact,2.0.62,unverified-artifact,2.0.62,unverified-artifact,
com.alibaba.nacos:nacos-client,3.2.2,bytecode-pass,3.2.2,bytecode-pass,3.2.2,bytecode-pass,
com.alibaba.otter:canal.client,1.1.8,bytecode-pass,1.1.8,bytecode-pass,1.1.8,bytecode-pass,
com.alibaba.otter:canal.protocol,1.1.8,bytecode-pass,1.1.8,bytecode-pass,1.1.8,bytecode-pass,
com.alibaba:druid,1.2.28,bytecode-pass,1.2.28,bytecode-pass,1.2.28,bytecode-pass,
com.alibaba:dubbo,3.3.6,unverified-artifact,3.3.6,unverified-artifact,3.3.6,unverified-artifact,
com.alibaba:easyexcel,4.0.3,bytecode-pass,4.0.3,bytecode-pass,4.0.3,bytecode-pass,
com.alibaba:fastjson,2.0.62,bytecode-pass,2.0.62,bytecode-pass,2.0.62,bytecode-pass,
com.alibaba:qlexpress4,4.1.2,bytecode-pass,4.1.2,bytecode-pass,4.1.2,bytecode-pass,
com.alibaba:transmittable-thread-local,2.14.5,bytecode-pass,2.14.5,bytecode-pass,2.14.5,bytecode-pass,
com.alicp.jetcache:jetcache-anno,2.7.8,bytecode-pass,2.8.0.RC,bytecode-pass,2.8.0.RC,bytecode-pass,
com.alicp.jetcache:jetcache-anno-api,,absent,2.8.0.RC,bytecode-pass,2.8.0.RC,bytecode-pass,
com.alicp.jetcache:jetcache-autoconfigure,,absent,2.8.0.RC,bytecode-pass,2.8.0.RC,bytecode-pass,
com.alicp.jetcache:jetcache-core,2.7.8,bytecode-pass,2.8.0.RC,bytecode-pass,2.8.0.RC,bytecode-pass,
com.alicp.jetcache:jetcache-redis-lettuce,,absent,2.8.0.RC,bytecode-pass,2.8.0.RC,bytecode-pass,
com.alicp.jetcache:jetcache-redisson,,absent,2.8.0.RC,bytecode-pass,2.8.0.RC,bytecode-pass,
com.alicp.jetcache:jetcache-starter-redis,2.7.8,bytecode-pass,2.8.0.RC,bytecode-pass,2.8.0.RC,bytecode-pass,
com.alicp.jetcache:jetcache-starter-redis-lettuce,2.7.8,bytecode-pass,2.8.0.RC,bytecode-pass,2.8.0.RC,bytecode-pass,
com.alicp.jetcache:jetcache-starter-redisson,2.7.8,bytecode-pass,2.8.0.RC,bytecode-pass,2.8.0.RC,bytecode-pass,
com.alipay.sdk:alipay-easysdk,2.2.3,bytecode-pass,2.2.3,bytecode-pass,2.2.3,bytecode-pass,
com.alipay.sdk:alipay-sdk-java,4.40.865.ALL,bytecode-pass,4.40.865.ALL,bytecode-pass,4.40.865.ALL,bytecode-pass,
com.aliyun.openservices:ons-client,1.8.8.Final,bytecode-pass,2.0.11.Final,bytecode-pass,2.0.11.Final,bytecode-pass,
com.aliyun.oss:aliyun-sdk-oss,3.18.5,bytecode-pass,3.18.5,bytecode-pass,3.18.5,bytecode-pass,
com.aliyun:alibaba-dingtalk-service-sdk,2.0.0,bytecode-pass,2.0.0,bytecode-pass,2.0.0,bytecode-pass,
com.aliyun:aliyun-java-sdk-core,4.7.9,bytecode-pass,4.7.9,bytecode-pass,4.7.9,bytecode-pass,
com.aliyun:aliyun-java-sdk-dm,3.3.2,bytecode-pass,3.3.2,bytecode-pass,3.3.2,bytecode-pass,
com.aliyun:aliyun-java-sdk-green,3.6.6,bytecode-pass,3.6.6,bytecode-pass,3.6.6,bytecode-pass,
com.aliyun:aliyun-java-sdk-mts,3.3.68,bytecode-pass,3.3.68,bytecode-pass,3.3.68,bytecode-pass,
com.aliyun:aliyun-java-sdk-vod,2.16.34,bytecode-pass,2.16.34,bytecode-pass,2.16.34,bytecode-pass,
com.aliyun:cloudauth20190307,3.13.3,bytecode-pass,3.13.3,bytecode-pass,3.13.3,bytecode-pass,
com.aliyun:dingtalk,2.2.55,bytecode-pass,2.2.55,bytecode-pass,2.2.55,bytecode-pass,
com.aliyun:dm20151123,1.12.0,bytecode-pass,1.12.0,bytecode-pass,1.12.0,bytecode-pass,
com.amazonaws:aws-java-sdk-core,1.12.797,bytecode-pass,1.12.797,bytecode-pass,1.12.797,bytecode-pass,
com.amazonaws:aws-java-sdk-s3,1.12.797,bytecode-pass,1.12.797,bytecode-pass,1.12.797,bytecode-pass,
com.amazonaws:aws-java-sdk-ses,1.12.797,bytecode-pass,1.12.797,bytecode-pass,1.12.797,bytecode-pass,
com.amazonaws:aws-java-sdk-sns,1.12.797,bytecode-pass,1.12.797,bytecode-pass,1.12.797,bytecode-pass,
com.amazonaws:aws-java-sdk-sts,1.12.797,bytecode-pass,1.12.797,bytecode-pass,1.12.797,bytecode-pass,
com.auth0:java-jwt,4.5.2,bytecode-pass,4.5.2,bytecode-pass,4.5.2,bytecode-pass,
com.auth0:jwks-rsa,0.24.1,bytecode-pass,0.24.1,bytecode-pass,0.24.1,bytecode-pass,
com.azure:azure-ai-openai,1.0.0-beta.16,bytecode-pass,1.0.0-beta.16,bytecode-pass,1.0.0-beta.16,bytecode-pass,
com.baomidou:dynamic-datasource-spring,,absent,4.3.1,bytecode-pass,4.3.1,bytecode-pass,
com.baomidou:kisso,3.8.3,bytecode-pass,3.9.5,bytecode-pass,3.9.5,bytecode-pass,
com.baomidou:mybatis-mate-annotation,1.3.6-sp2,bytecode-pass,1.3.6-sp2,bytecode-pass,1.3.6-sp2,bytecode-pass,
com.baomidou:mybatis-mate-starter,1.3.6-sp2,bytecode-pass,1.3.6-sp2,bytecode-pass,1.3.6-sp2,bytecode-pass,
com.baomidou:mybatis-plus,3.5.9,bytecode-pass,3.5.16,bytecode-pass,3.5.16,bytecode-pass,
com.baomidou:mybatis-plus-annotation,3.5.9,bytecode-pass,3.5.16,bytecode-pass,3.5.16,bytecode-pass,
com.baomidou:mybatis-plus-boot-starter,3.5.9,bytecode-pass,,replacement,,replacement,
com.baomidou:mybatis-plus-core,3.5.9,bytecode-pass,3.5.16,bytecode-pass,3.5.16,bytecode-pass,
com.baomidou:mybatis-plus-extension,3.5.9,bytecode-pass,3.5.16,bytecode-pass,3.5.16,bytecode-pass,
com.baomidou:mybatis-plus-generator,3.5.9,bytecode-pass,3.5.16,bytecode-pass,3.5.16,bytecode-pass,
com.baomidou:mybatis-plus-jsqlparser,,replacement,3.5.16,bytecode-pass,3.5.16,bytecode-pass,
com.baomidou:mybatis-plus-jsqlparser-4.9,3.5.9,bytecode-pass,3.5.16,bytecode-pass,3.5.16,bytecode-pass,
com.baomidou:mybatis-plus-spring,3.5.9,bytecode-pass,3.5.16,bytecode-pass,3.5.16,bytecode-pass,
com.baomidou:mybatis-plus-spring-boot3-starter,,replacement,3.5.16,bytecode-pass,,replacement,
com.baomidou:mybatis-plus-spring-boot4-starter,,absent,,absent,3.5.16,bytecode-pass,
com.belerweb:pinyin4j,2.5.1,bytecode-pass,2.5.1,bytecode-pass,2.5.1,bytecode-pass,
com.clickhouse:clickhouse-jdbc,,absent,0.9.8,bytecode-pass,0.9.8,bytecode-pass,
com.cloudhopper.proxool:proxool,0.9.1,bytecode-pass,0.9.1,bytecode-pass,0.9.1,bytecode-pass,
com.cloudhopper.proxool:proxool-cglib,0.9.1,bytecode-pass,0.9.1,bytecode-pass,0.9.1,bytecode-pass,
com.corundumstudio.socketio:netty-socketio,2.0.14,bytecode-pass,2.0.14,bytecode-pass,2.0.14,bytecode-pass,
com.couchbase.client:java-client,3.7.9,bytecode-pass,3.7.9,bytecode-pass,3.7.9,bytecode-pass,
com.didispace:swagger-butler-core,2.0.0,bytecode-pass,2.0.0,bytecode-pass,2.0.0,bytecode-pass,
com.drewnoakes:metadata-extractor,2.20.0,bytecode-pass,2.20.0,bytecode-pass,2.20.0,bytecode-pass,
com.enigmabridge:hibernate4-sqlite-dialect,0.1.2,bytecode-pass,0.1.2,bytecode-pass,0.1.2,bytecode-pass,
com.eventstore:db-client-java,5.4.5,bytecode-pass,5.4.5,bytecode-pass,5.4.5,bytecode-pass,
com.fasterxml.jackson.core:jackson-annotations,2.22,bytecode-pass,2.21,bytecode-pass,2.22,bytecode-pass,
com.fasterxml.jackson.core:jackson-core,2.22.2,bytecode-pass,2.21.2,bytecode-pass,2.21.2,bytecode-pass,
com.fasterxml.jackson.core:jackson-databind,2.22.2,bytecode-pass,2.21.2,bytecode-pass,2.21.2,bytecode-pass,
com.fasterxml.uuid:java-uuid-generator,5.2.0,bytecode-pass,5.2.0,bytecode-pass,5.2.0,bytecode-pass,
com.fasterxml.woodstox:woodstox-core,7.2.1,bytecode-pass,7.2.1,bytecode-pass,7.2.1,bytecode-pass,
com.fasterxml:classmate,,absent,1.7.1,bytecode-pass,1.7.1,bytecode-pass,
com.gitee.Jmysy:binlog4j-core,1.9.1,bytecode-pass,1.9.1,bytecode-pass,1.9.1,bytecode-pass,
com.github.abel533:ECharts,3.0.0.6,bytecode-pass,3.0.0.6,bytecode-pass,3.0.0.6,bytecode-pass,
com.github.albfernandez:juniversalchardet,2.5.0,bytecode-pass,2.5.0,bytecode-pass,2.5.0,bytecode-pass,
com.github.axet:java-unrar,1.7.0-8,bytecode-pass,1.7.0-8,bytecode-pass,1.7.0-8,bytecode-pass,
com.github.axet:kaptcha,0.0.9,bytecode-pass,0.0.9,bytecode-pass,0.0.9,bytecode-pass,
com.github.ben-manes.caffeine:caffeine,2.9.3,bytecode-pass,3.2.4,bytecode-pass,3.2.4,bytecode-pass,
com.github.ben-manes.caffeine:guava,2.9.3,bytecode-pass,3.2.4,bytecode-pass,3.2.4,bytecode-pass,
com.github.ben-manes.caffeine:jcache,2.9.3,bytecode-pass,3.2.4,bytecode-pass,3.2.4,bytecode-pass,
com.github.ben-manes.caffeine:simulator,2.9.3,bytecode-pass,3.1.8,bytecode-pass,3.1.8,bytecode-pass,
com.github.binarywang:java-emoji-converter,1.0.2,bytecode-pass,1.0.2,bytecode-pass,1.0.2,bytecode-pass,
com.github.binarywang:qrcode-utils,1.3,bytecode-pass,1.3,bytecode-pass,1.3,bytecode-pass,
com.github.binarywang:weixin-java-common,4.7.9.B,bytecode-pass,4.8.4-20260626.095153,bytecode-pass,4.8.4-20260626.095153,bytecode-pass,
com.github.binarywang:weixin-java-cp,4.7.9.B,bytecode-pass,4.8.4-20260626.095153,bytecode-pass,4.8.4-20260626.095153,bytecode-pass,
com.github.binarywang:weixin-java-miniapp,4.7.9.B,bytecode-pass,4.8.4-20260626.095153,bytecode-pass,4.8.4-20260626.095153,bytecode-pass,
com.github.binarywang:weixin-java-mp,4.7.9.B,bytecode-pass,4.8.4-20260626.095153,bytecode-pass,4.8.4-20260626.095153,bytecode-pass,
com.github.binarywang:weixin-java-open,4.7.9.B,bytecode-pass,4.8.4-20260626.095153,bytecode-pass,4.8.4-20260626.095153,bytecode-pass,
com.github.binarywang:weixin-java-pay,4.7.9.B,bytecode-pass,4.8.4-20260626.095153,bytecode-pass,4.8.4-20260626.095153,bytecode-pass,
com.github.docker-java:docker-java,3.7.1,bytecode-pass,3.7.1,bytecode-pass,3.7.1,bytecode-pass,
com.github.dozermapper:dozer-core,6.5.2,bytecode-pass,7.0.0,bytecode-pass,7.0.0,bytecode-pass,
com.github.dozermapper:dozer-proto3,6.5.2,bytecode-pass,6.5.2,bytecode-pass,6.5.2,bytecode-pass,
com.github.dozermapper:dozer-spring4,6.5.2,bytecode-pass,7.0.0,bytecode-pass,7.0.0,bytecode-pass,
com.github.hiwepy:cxf-rt-javassist,1.0.3.RELEASE,bytecode-pass,,replacement,,replacement,
com.github.hiwepy:dozer-extra-converters,1.0.2.RELEASE,bytecode-pass,,replacement,,replacement,
com.github.hiwepy:druid-metrics-prometheus,1.0.2.RELEASE,bytecode-pass,1.0.2.RELEASE,bytecode-pass,1.0.2.RELEASE,bytecode-pass,
com.github.hiwepy:httpconn,1.0.1.RELEASE,bytecode-pass,1.0.1.RELEASE,bytecode-pass,1.0.1.RELEASE,bytecode-pass,
com.github.hiwepy:httputils,1.0.0.RELEASE,bytecode-pass,1.0.0.RELEASE,bytecode-pass,1.0.0.RELEASE,bytecode-pass,
com.github.hiwepy:ip2region-spring-boot-starter,,unsupported,,excluded,,excluded,JDK 8: 发布 JAR 的基础字节码超过 JDK 8；不能由提高构建 JVM 绕过本版本线约束
com.github.hiwepy:javassist-plus,1.0.4.RELEASE,unverified-artifact,1.0.4.RELEASE,unverified-artifact,1.0.4.RELEASE,unverified-artifact,
com.github.hiwepy:jwt-issuer-api,1.1.8.RELEASE,bytecode-pass,,replacement,,replacement,
com.github.hiwepy:jwt-issuer-with-jjwt,1.1.8.RELEASE,bytecode-pass,,replacement,,replacement,
com.github.hiwepy:jwt-issuer-with-nimbus,1.1.8.RELEASE,bytecode-pass,,replacement,,replacement,
com.github.hiwepy:mybatis-plus-enhance,2.7.x.20260630-SNAPSHOT,bytecode-pass,,excluded,,excluded,
com.github.hiwepy:pac4j-oauth-ext,,unsupported,6.1.x.20241003.RELEASE,bytecode-pass,6.1.x.20241003.RELEASE,bytecode-pass,JDK 8: 发布 JAR 的基础字节码超过 JDK 8；不能由提高构建 JVM 绕过本版本线约束
com.github.hiwepy:redistpl-plus-spring-boot-starter,2.7.x.20240823.RELEASE,bytecode-pass,,manual-migration,,manual-migration,JDK 17: 已发布 starter 绑定 Spring Boot 2.7 / javax.servlet；现有新 SDK 缺少等价自动配置且仍有 javax 引用，需发布对应 Spring 6/7 适配产物; JDK 21: 已发布 starter 绑定 Spring Boot 2.7 / javax.servlet；现有新 SDK 缺少等价自动配置且仍有 javax 引用，需发布对应 Spring 6/7 适配产物
com.github.hiwepy:security-biz-spring-boot-starter,2.7.x.20241003.RELEASE,bytecode-pass,,manual-migration,,manual-migration,JDK 17: 已发布 starter 绑定 Spring Boot 2.7 / javax.servlet；现有新 SDK 缺少等价自动配置且仍有 javax 引用，需发布对应 Spring 6/7 适配产物; JDK 21: 已发布 starter 绑定 Spring Boot 2.7 / javax.servlet；现有新 SDK 缺少等价自动配置且仍有 javax 引用，需发布对应 Spring 6/7 适配产物
com.github.hiwepy:security-jwt-spring-boot-starter,2.7.x.20241003.RELEASE,bytecode-pass,,manual-migration,,manual-migration,JDK 17: 已发布 starter 绑定 Spring Boot 2.7 / javax.servlet；现有新 SDK 缺少等价自动配置且仍有 javax 引用，需发布对应 Spring 6/7 适配产物; JDK 21: 已发布 starter 绑定 Spring Boot 2.7 / javax.servlet；现有新 SDK 缺少等价自动配置且仍有 javax 引用，需发布对应 Spring 6/7 适配产物
com.github.hiwepy:shiro-biz,1.2.0.RELEASE,bytecode-pass,1.2.3.RELEASE,bytecode-pass,1.2.3.RELEASE,bytecode-pass,
com.github.hiwepy:shiro-j2cache,1.0.5.RELEASE,bytecode-pass,,replacement,,replacement,
com.github.hiwepy:spring-biz,1.1.5.RELEASE,bytecode-pass,3.3.x.20241020.RELEASE,bytecode-pass,3.3.x.20241020.RELEASE,bytecode-pass,
com.github.hiwepy:spring-bytebuddy,,unsupported,,replacement,,replacement,JDK 8: 发布 JAR 的基础字节码超过 JDK 8；不能由提高构建 JVM 绕过本版本线约束
com.github.hiwepy:spring-javassist,1.0.x.20260630-SNAPSHOT,unverified-artifact,,replacement,,replacement,
com.github.hiwepy:undertow-metrics-prometheus,1.0.0.RELEASE,bytecode-pass,1.0.0.RELEASE,bytecode-pass,1.0.0.RELEASE,bytecode-pass,
com.github.jai-imageio:jai-imageio-core,1.4.0,bytecode-pass,1.4.0,bytecode-pass,1.4.0,bytecode-pass,
com.github.java-json-tools:json-path-assert,,replacement,,replacement,,replacement,
com.github.java-json-tools:json-schema-validator,2.2.14,bytecode-pass,2.2.14,bytecode-pass,2.2.14,bytecode-pass,
com.github.jeffreyning:mybatisplus-plus,1.7.4-RELEASE,bytecode-pass,1.7.5-RELEASE,bytecode-pass,1.7.5-RELEASE,bytecode-pass,
com.github.jsqlparser:jsqlparser,4.9,bytecode-pass,5.3,bytecode-pass,5.3,bytecode-pass,
com.github.junrar:junrar,7.6.0,bytecode-pass,7.6.0,bytecode-pass,7.6.0,bytecode-pass,
com.github.luben:zstd-jni,1.5.7-11,bytecode-pass,1.5.7-11,bytecode-pass,1.5.7-11,bytecode-pass,
com.github.mwiede:jsch,2.28.3,bytecode-pass,2.28.3,bytecode-pass,2.28.3,bytecode-pass,
com.github.mxab.thymeleaf.extras:thymeleaf-extras-data-attribute,,absent,2.0.1,bytecode-pass,2.0.1,bytecode-pass,
com.github.oshi:oshi-core,7.4.4,bytecode-pass,7.4.4,bytecode-pass,7.4.4,bytecode-pass,
com.github.oshi:oshi-core-ffm,,absent,,unsupported,,unsupported,JDK 17: FFM 实现发布 JAR 要求 Java 25；当前 JDK 使用同清单中的 oshi-core/JNA 实现; JDK 21: FFM 实现发布 JAR 要求 Java 25；当前 JDK 使用同清单中的 oshi-core/JNA 实现
com.github.oshi:oshi-core-shaded,6.1.0,bytecode-pass,6.1.0,bytecode-pass,6.1.0,bytecode-pass,
com.github.pagehelper:pagehelper,6.1.1,bytecode-pass,6.1.1,bytecode-pass,6.1.1,bytecode-pass,
com.github.scribejava:scribejava-apis,8.3.3,bytecode-pass,8.3.3,bytecode-pass,8.3.3,bytecode-pass,
com.github.scribejava:scribejava-core,8.3.3,bytecode-pass,8.3.3,bytecode-pass,8.3.3,bytecode-pass,
com.github.scribejava:scribejava-httpclient-ahc,8.3.3,bytecode-pass,8.3.3,bytecode-pass,8.3.3,bytecode-pass,
com.github.scribejava:scribejava-httpclient-apache,8.3.3,bytecode-pass,8.3.3,bytecode-pass,8.3.3,bytecode-pass,
com.github.scribejava:scribejava-httpclient-ning,8.3.3,bytecode-pass,8.3.3,bytecode-pass,8.3.3,bytecode-pass,
com.github.scribejava:scribejava-httpclient-okhttp,8.3.3,bytecode-pass,8.3.3,bytecode-pass,8.3.3,bytecode-pass,
com.github.streamone:shiro-redisson,1.5.0.RELEASE,bytecode-pass,1.5.0.RELEASE,bytecode-pass,1.5.0.RELEASE,bytecode-pass,
com.github.tencentyun:tls-sig-api-v2,2.0,bytecode-pass,2.0,bytecode-pass,2.0,bytecode-pass,
com.github.theborakompanioni:thymeleaf-extras-shiro,2.1.0,bytecode-pass,2.1.0,bytecode-pass,2.1.0,bytecode-pass,
com.github.victools:jsonschema-generator,4.38.0,bytecode-pass,4.38.0,bytecode-pass,4.38.0,bytecode-pass,
com.github.victools:jsonschema-module-jackson,4.38.0,bytecode-pass,4.38.0,bytecode-pass,4.38.0,bytecode-pass,
com.github.victools:jsonschema-module-swagger-2,4.38.0,bytecode-pass,4.38.0,bytecode-pass,4.38.0,bytecode-pass,
com.github.wechatpay-apiv3:wechatpay-java,0.2.17,bytecode-pass,0.2.17,bytecode-pass,0.2.17,bytecode-pass,
com.github.xiaoymin:knife4j-core,4.5.0,bytecode-pass,4.5.0,bytecode-pass,4.5.0,bytecode-pass,
com.github.xiaoymin:knife4j-openapi3-ui,4.5.0,bytecode-pass,4.5.0,bytecode-pass,4.5.0,bytecode-pass,
com.github.xiaoymin:swagger-bootstrap-ui,1.9.6,bytecode-pass,1.9.6,bytecode-pass,1.9.6,bytecode-pass,
com.google.api-client:google-api-client,2.9.0,bytecode-pass,2.9.0,bytecode-pass,2.9.0,bytecode-pass,
com.google.apis:google-api-services-androidpublisher,v3-rev142-1.25.0,bytecode-pass,v3-rev142-1.25.0,bytecode-pass,v3-rev142-1.25.0,bytecode-pass,
com.google.code.findbugs:annotations,3.0.1u2,bytecode-pass,3.0.1u2,bytecode-pass,3.0.1u2,bytecode-pass,
com.google.code.findbugs:jsr305,3.0.2,bytecode-pass,3.0.2,bytecode-pass,3.0.2,bytecode-pass,
com.google.code.gson:gson,2.14.0,bytecode-pass,2.14.0,bytecode-pass,2.14.0,bytecode-pass,
com.google.crypto.tink:tink,1.10.0,bytecode-pass,1.22.0,bytecode-pass,1.22.0,bytecode-pass,
com.google.errorprone:error_prone_annotations,2.50.0,bytecode-pass,2.50.0,bytecode-pass,2.50.0,bytecode-pass,
com.google.guava:guava,33.6.0-jre,bytecode-pass,33.6.0-jre,bytecode-pass,33.6.0-jre,bytecode-pass,
com.google.inject:guice,5.1.0,bytecode-pass,7.0.0,bytecode-pass,7.0.0,bytecode-pass,
com.google.j2objc:j2objc-annotations,3.1,bytecode-pass,3.1,bytecode-pass,3.1,bytecode-pass,
com.google.oauth-client:google-oauth-client,1.39.0,bytecode-pass,1.39.0,bytecode-pass,1.39.0,bytecode-pass,
com.google.oauth-client:google-oauth-client-appengine,1.39.0,bytecode-pass,1.39.0,bytecode-pass,1.39.0,bytecode-pass,
com.google.oauth-client:google-oauth-client-java6,1.39.0,bytecode-pass,1.39.0,bytecode-pass,1.39.0,bytecode-pass,
com.google.oauth-client:google-oauth-client-jetty,1.39.0,bytecode-pass,1.39.0,bytecode-pass,1.39.0,bytecode-pass,
com.google.oauth-client:google-oauth-client-servlet,1.39.0,bytecode-pass,1.39.0,bytecode-pass,1.39.0,bytecode-pass,
com.google.protobuf:protobuf-java,4.35.1,bytecode-pass,4.35.1,bytecode-pass,4.35.1,bytecode-pass,
com.google.protobuf:protobuf-java-util,4.35.1,bytecode-pass,4.35.1,bytecode-pass,4.35.1,bytecode-pass,
com.google.zxing:core,3.5.4,bytecode-pass,3.5.4,bytecode-pass,3.5.4,bytecode-pass,
com.google.zxing:javase,3.5.4,bytecode-pass,3.5.4,bytecode-pass,3.5.4,bytecode-pass,
com.googlecode.aviator:aviator,5.4.3,bytecode-pass,5.4.3,bytecode-pass,5.4.3,bytecode-pass,
com.googlecode.libphonenumber:carrier,2.33,bytecode-pass,2.33,bytecode-pass,2.33,bytecode-pass,
com.googlecode.libphonenumber:geocoder,3.33,bytecode-pass,3.33,bytecode-pass,3.33,bytecode-pass,
com.googlecode.libphonenumber:libphonenumber,9.0.33,bytecode-pass,9.0.33,bytecode-pass,9.0.33,bytecode-pass,
com.googlecode.libphonenumber:prefixmapper,3.33,bytecode-pass,3.33,bytecode-pass,3.33,bytecode-pass,
com.googlecode.owasp-java-html-sanitizer:owasp-java-html-sanitizer,20260313.1,bytecode-pass,20260313.1,bytecode-pass,20260313.1,bytecode-pass,
com.googlecode.xmemcached:xmemcached,2.4.9,bytecode-pass,2.4.9,bytecode-pass,2.4.9,bytecode-pass,
com.h2database:h2,2.2.224,bytecode-pass,2.4.240,bytecode-pass,2.4.240,bytecode-pass,
com.h2database:h2-mvstore,2.2.224,bytecode-pass,2.4.240,bytecode-pass,2.4.240,bytecode-pass,
com.hankcs.hanlp.restful:hanlp-restful,0.0.15,bytecode-pass,0.0.15,bytecode-pass,0.0.15,bytecode-pass,
com.hankcs:hanlp,portable-1.8.4,bytecode-pass,portable-1.8.4,bytecode-pass,portable-1.8.4,bytecode-pass,
com.hazelcast:hazelcast,4.2.5,bytecode-pass,5.6.0,bytecode-pass,5.6.0,bytecode-pass,
com.hazelcast:hazelcast-spring,,absent,5.6.0,bytecode-pass,5.6.0,bytecode-pass,
com.ibeetl:beetl,3.21.2.RELEASE,bytecode-pass,3.21.2.RELEASE,bytecode-pass,3.21.2.RELEASE,bytecode-pass,
com.ibm.db2:jcc,12.1.5.0,bytecode-pass,12.1.5.0,bytecode-pass,12.1.5.0,bytecode-pass,
com.ibm.icu:icu4j,76.1,bytecode-pass,78.3,bytecode-pass,78.3,bytecode-pass,
com.influxdb:influxdb-client-java,6.12.0,bytecode-pass,7.5.0,bytecode-pass,7.5.0,bytecode-pass,
com.izettle:dropwizard-metrics-influxdb,1.3.4,bytecode-pass,1.3.4,bytecode-pass,1.3.4,bytecode-pass,
com.jayway.jsonpath:json-path,2.10.0,bytecode-pass,2.10.0,bytecode-pass,2.10.0,bytecode-pass,
com.jayway.jsonpath:json-path-assert,2.10.0,bytecode-pass,2.10.0,bytecode-pass,2.10.0,bytecode-pass,
com.jgoodies:jgoodies-binding,2.13.0,bytecode-pass,2.13.0,bytecode-pass,2.13.0,bytecode-pass,
com.jgoodies:jgoodies-forms,1.9.0,bytecode-pass,1.9.0,bytecode-pass,1.9.0,bytecode-pass,
com.jgoodies:jgoodies-looks,2.7.0,bytecode-pass,2.7.0,bytecode-pass,2.7.0,bytecode-pass,
com.jgoodies:jgoodies-validation,2.5.1,bytecode-pass,2.5.1,bytecode-pass,2.5.1,bytecode-pass,
com.jhlabs:filters,2.0.235-1,bytecode-pass,2.0.235-1,bytecode-pass,2.0.235-1,bytecode-pass,
