coordinate,jdk8_version,jdk8_status,jdk17_version,jdk17_status,jdk21_version,jdk21_status,notes
org.mybatis.caches:mybatis-ignite,1.1.1,bytecode-pass,1.2.0,bytecode-pass,1.2.0,bytecode-pass,
org.mybatis.caches:mybatis-memcached,1.1.1,bytecode-pass,1.2.0,bytecode-pass,1.2.0,bytecode-pass,
org.mybatis.caches:mybatis-oscache,1.0.2,bytecode-pass,1.0.2,bytecode-pass,1.0.2,bytecode-pass,
org.mybatis.caches:mybatis-redis,1.0.0,bytecode-pass,1.1.0,bytecode-pass,1.1.0,bytecode-pass,
org.mybatis.dynamic-sql:mybatis-dynamic-sql,1.5.2,bytecode-pass,1.5.2,bytecode-pass,1.5.2,bytecode-pass,
org.mybatis.scripting:mybatis-freemarker,1.2.4,bytecode-pass,1.3.1,bytecode-pass,1.3.1,bytecode-pass,
org.mybatis.scripting:mybatis-thymeleaf,1.0.4,bytecode-pass,1.1.1,bytecode-pass,1.1.1,bytecode-pass,
org.mybatis.scripting:mybatis-velocity,2.1.2,bytecode-pass,2.3.1,bytecode-pass,2.3.1,bytecode-pass,
org.mybatis.spring.boot:mybatis-spring-boot-starter,2.3.2,bytecode-pass,,excluded,,excluded,
org.mybatis:mybatis,3.5.19,bytecode-pass,3.5.19,bytecode-pass,3.5.19,bytecode-pass,
org.mybatis:mybatis-migrations,3.4.0,bytecode-pass,3.5.0,bytecode-pass,3.5.0,bytecode-pass,
org.mybatis:mybatis-spring,2.1.2,bytecode-pass,3.0.5,bytecode-pass,3.0.5,bytecode-pass,
org.mybatis:mybatis-typehandlers-jsr310,1.0.2,bytecode-pass,1.0.2,bytecode-pass,1.0.2,bytecode-pass,
org.mybatis:mybatis-typehandlers-threeten-extra,1.0.0,bytecode-pass,1.1.1,bytecode-pass,1.1.1,bytecode-pass,
org.neo4j.driver:neo4j-java-driver,4.4.9,bytecode-pass,5.28.10,bytecode-pass,5.28.10,bytecode-pass,
org.objenesis:objenesis,3.5,bytecode-pass,3.5,bytecode-pass,3.5,bytecode-pass,
org.opensearch.client:opensearch-java,,absent,3.9.0,bytecode-pass,3.9.0,bytecode-pass,
org.opentest4j:opentest4j,1.3.0,bytecode-pass,1.3.0,bytecode-pass,1.3.0,bytecode-pass,
org.ow2.asm:asm,5.0.4,bytecode-pass,9.10.1,bytecode-pass,9.10.1,bytecode-pass,
org.owasp.antisamy:antisamy,1.7.8,bytecode-pass,1.7.8,bytecode-pass,1.7.8,bytecode-pass,
org.owasp.encoder:encoder,1.4.0,bytecode-pass,1.4.0,bytecode-pass,1.4.0,bytecode-pass,
org.owasp.encoder:encoder-esapi,1.4.0,bytecode-pass,1.4.0,bytecode-pass,1.4.0,bytecode-pass,
