coordinate	declared_expression	selected_spdx	evidence_url	evidence_type	justification
org.eclipse.jetty:jetty-session:12.1.8	Apache-2.0 OR EPL-2.0	Apache-2.0	https://repo1.maven.org/maven2/org/eclipse/jetty/jetty-session/12.1.8/jetty-session-12.1.8.pom	POM	Select the upstream Apache-2.0 option; dependency is consumed as an unmodified JAR.
org.eclipse.jetty:jetty-session:12.1.9	Apache-2.0 OR EPL-2.0	Apache-2.0	https://repo1.maven.org/maven2/org/eclipse/jetty/jetty-session/12.1.9/jetty-session-12.1.9.pom	POM	Select the upstream Apache-2.0 option; dependency is consumed as an unmodified JAR.
org.eclipse.jetty:jetty-util:12.1.5	Apache-2.0 OR EPL-2.0	Apache-2.0	https://repo1.maven.org/maven2/org/eclipse/jetty/jetty-util/12.1.5/jetty-util-12.1.5.pom	POM	Select the upstream Apache-2.0 option; dependency is consumed as an unmodified JAR.
org.eclipse.jetty:jetty-util:12.1.8	Apache-2.0 OR EPL-2.0	Apache-2.0	https://repo1.maven.org/maven2/org/eclipse/jetty/jetty-util/12.1.8/jetty-util-12.1.8.pom	POM	Select the upstream Apache-2.0 option; dependency is consumed as an unmodified JAR.
org.eclipse.jetty:jetty-xml:12.1.8	Apache-2.0 OR EPL-2.0	Apache-2.0	https://repo1.maven.org/maven2/org/eclipse/jetty/jetty-xml/12.1.8/jetty-xml-12.1.8.pom	POM	Select the upstream Apache-2.0 option; dependency is consumed as an unmodified JAR.
org.eclipse.jetty.ee:jetty-ee-webapp:12.1.8	Apache-2.0 OR EPL-2.0	Apache-2.0	https://repo1.maven.org/maven2/org/eclipse/jetty/ee/jetty-ee-webapp/12.1.8/jetty-ee-webapp-12.1.8.pom	POM	Select the upstream Apache-2.0 option; dependency is consumed as an unmodified JAR.
org.eclipse.jetty.ee10:jetty-ee10-annotations:12.1.8	Apache-2.0 OR EPL-2.0	Apache-2.0	https://repo1.maven.org/maven2/org/eclipse/jetty/ee10/jetty-ee10-annotations/12.1.8/jetty-ee10-annotations-12.1.8.pom	POM	Select the upstream Apache-2.0 option; dependency is consumed as an unmodified JAR.
org.eclipse.jetty.ee10:jetty-ee10-plus:12.1.8	Apache-2.0 OR EPL-2.0	Apache-2.0	https://repo1.maven.org/maven2/org/eclipse/jetty/ee10/jetty-ee10-plus/12.1.8/jetty-ee10-plus-12.1.8.pom	POM	Select the upstream Apache-2.0 option; dependency is consumed as an unmodified JAR.
org.eclipse.jetty.ee10:jetty-ee10-servlet:12.1.8	Apache-2.0 OR EPL-2.0	Apache-2.0	https://repo1.maven.org/maven2/org/eclipse/jetty/ee10/jetty-ee10-servlet/12.1.8/jetty-ee10-servlet-12.1.8.pom	POM	Select the upstream Apache-2.0 option; dependency is consumed as an unmodified JAR.
org.eclipse.jetty.ee10:jetty-ee10-servlet:12.1.9	Apache-2.0 OR EPL-2.0	Apache-2.0	https://repo1.maven.org/maven2/org/eclipse/jetty/ee10/jetty-ee10-servlet/12.1.9/jetty-ee10-servlet-12.1.9.pom	POM	Select the upstream Apache-2.0 option; dependency is consumed as an unmodified JAR.
org.eclipse.jetty.ee10:jetty-ee10-webapp:12.1.8	Apache-2.0 OR EPL-2.0	Apache-2.0	https://repo1.maven.org/maven2/org/eclipse/jetty/ee10/jetty-ee10-webapp/12.1.8/jetty-ee10-webapp-12.1.8.pom	POM	Select the upstream Apache-2.0 option; dependency is consumed as an unmodified JAR.
org.eclipse.jetty.ee10.websocket:jetty-ee10-websocket-jetty-server:12.1.8	Apache-2.0 OR EPL-2.0	Apache-2.0	https://repo1.maven.org/maven2/org/eclipse/jetty/ee10/websocket/jetty-ee10-websocket-jetty-server/12.1.8/jetty-ee10-websocket-jetty-server-12.1.8.pom	POM	Select the upstream Apache-2.0 option; dependency is consumed as an unmodified JAR.
org.eclipse.jetty.ee10.websocket:jetty-ee10-websocket-servlet:12.1.8	Apache-2.0 OR EPL-2.0	Apache-2.0	https://repo1.maven.org/maven2/org/eclipse/jetty/ee10/websocket/jetty-ee10-websocket-servlet/12.1.8/jetty-ee10-websocket-servlet-12.1.8.pom	POM	Select the upstream Apache-2.0 option; dependency is consumed as an unmodified JAR.
